datum;pegel;wasserstand
2020-02-29 11:16:11;Brenneckenbrück;253
2020-02-29 11:16:11;Langlingen;400
2020-02-29 11:16:11;Celle;334
2020-02-29 11:16:11;Marklendorf;278
2020-02-29 11:16:11;Ahlden;375
2020-02-29 11:16:11;Rethem;390
2020-02-29 11:16:11;Eitze;532
2020-02-29 12:16:19;Grafhorst;110
2020-02-29 12:16:19;Brenneckenbrück;254
2020-02-29 12:16:19;Langlingen;400
2020-02-29 12:16:19;Celle;335
2020-02-29 12:16:19;Marklendorf;276
2020-02-29 12:16:19;Ahlden;375
2020-02-29 12:16:19;Rethem;390
2020-02-29 12:16:19;Eitze;532
2020-02-29 13:16:28;Grafhorst;111
2020-02-29 13:16:28;Brenneckenbrück;256
2020-02-29 13:16:28;Langlingen;399
2020-02-29 13:16:28;Celle;335
2020-02-29 13:16:28;Marklendorf;278
2020-02-29 13:16:28;Ahlden;375
2020-02-29 13:16:28;Rethem;390
2020-02-29 13:16:28;Eitze;532
2020-02-29 14:16:39;Grafhorst;111
2020-02-29 14:16:39;Brenneckenbrück;257
2020-02-29 14:16:39;Langlingen;399
2020-02-29 14:16:39;Celle;335
2020-02-29 14:16:39;Marklendorf;278
2020-02-29 14:16:39;Ahlden;375
2020-02-29 14:16:39;Rethem;390
2020-02-29 14:16:39;Eitze;532
2020-02-29 15:16:49;Grafhorst;112
2020-02-29 15:16:49;Brenneckenbrück;259
2020-02-29 15:16:49;Langlingen;398
2020-02-29 15:16:49;Celle;335
2020-02-29 15:16:49;Marklendorf;277
2020-02-29 15:16:49;Ahlden;376
2020-02-29 15:16:49;Rethem;391
2020-02-29 15:16:49;Eitze;533
2020-02-29 16:16:58;Grafhorst;112
2020-02-29 16:16:58;Brenneckenbrück;260
2020-02-29 16:16:58;Langlingen;399
2020-02-29 16:16:58;Celle;335
2020-02-29 16:16:58;Marklendorf;277
2020-02-29 16:16:58;Ahlden;376
2020-02-29 16:16:58;Rethem;391
2020-02-29 16:16:58;Eitze;533
2020-02-29 17:17:03;Grafhorst;112
2020-02-29 17:17:03;Brenneckenbrück;261
2020-02-29 17:17:03;Langlingen;399
2020-02-29 17:17:03;Celle;335
2020-02-29 17:17:03;Marklendorf;276
2020-02-29 17:17:03;Ahlden;376
2020-02-29 17:17:03;Rethem;391
2020-02-29 17:17:03;Eitze;533
2020-02-29 18:17:13;Grafhorst;112
2020-02-29 18:17:13;Brenneckenbrück;262
2020-02-29 18:17:13;Langlingen;398
2020-02-29 18:17:13;Celle;336
2020-02-29 18:17:13;Marklendorf;276
2020-02-29 18:17:13;Ahlden;376
2020-02-29 18:17:13;Rethem;391
2020-02-29 18:17:13;Eitze;534
2020-02-29 19:17:20;Grafhorst;112
2020-02-29 19:17:20;Brenneckenbrück;262
2020-02-29 19:17:20;Langlingen;398
2020-02-29 19:17:20;Celle;336
2020-02-29 19:17:20;Marklendorf;274
2020-02-29 19:17:20;Ahlden;376
2020-02-29 19:17:20;Rethem;391
2020-02-29 19:17:20;Eitze;534
2020-02-29 20:17:29;Grafhorst;112
2020-02-29 20:17:29;Brenneckenbrück;263
2020-02-29 20:17:29;Langlingen;398
2020-02-29 20:17:29;Celle;336
2020-02-29 20:17:29;Marklendorf;275
2020-02-29 20:17:29;Ahlden;376
2020-02-29 20:17:29;Rethem;391
2020-02-29 20:17:29;Eitze;534
2020-02-29 21:17:37;Grafhorst;112
2020-02-29 21:17:37;Brenneckenbrück;264
2020-02-29 21:17:37;Langlingen;398
2020-02-29 21:17:37;Celle;336
2020-02-29 21:17:37;Marklendorf;274
2020-02-29 21:17:37;Ahlden;375
2020-02-29 21:17:37;Rethem;391
2020-02-29 21:17:37;Eitze;532
2020-02-29 22:17:46;Grafhorst;111
2020-02-29 22:17:46;Brenneckenbrück;264
2020-02-29 22:17:46;Langlingen;398
2020-02-29 22:17:46;Celle;336
2020-02-29 22:17:46;Marklendorf;274
2020-02-29 22:17:46;Ahlden;375
2020-02-29 22:17:46;Rethem;391
2020-02-29 22:17:46;Eitze;534
2020-02-29 23:17:52;Grafhorst;110
2020-02-29 23:17:52;Brenneckenbrück;265
2020-02-29 23:17:52;Langlingen;398
2020-02-29 23:17:52;Celle;336
2020-02-29 23:17:52;Marklendorf;273
2020-02-29 23:17:52;Ahlden;375
2020-02-29 23:17:52;Rethem;391
2020-02-29 23:17:52;Eitze;534
2020-03-01 00:18:01;Grafhorst;109
2020-03-01 00:18:01;Brenneckenbrück;265
2020-03-01 00:18:01;Langlingen;398
2020-03-01 00:18:01;Celle;336
2020-03-01 00:18:01;Marklendorf;274
2020-03-01 00:18:01;Ahlden;375
2020-03-01 00:18:01;Rethem;391
2020-03-01 00:18:01;Eitze;534
2020-03-01 01:18:07;Grafhorst;108
2020-03-01 01:18:07;Brenneckenbrück;266
2020-03-01 01:18:07;Langlingen;398
2020-03-01 01:18:07;Celle;336
2020-03-01 01:18:07;Marklendorf;274
2020-03-01 01:18:07;Ahlden;375
2020-03-01 01:18:07;Rethem;391
2020-03-01 01:18:07;Eitze;534
2020-03-01 02:18:12;Grafhorst;108
2020-03-01 02:18:12;Brenneckenbrück;266
2020-03-01 02:18:12;Langlingen;398
2020-03-01 02:18:12;Celle;336
2020-03-01 02:18:12;Marklendorf;274
2020-03-01 02:18:12;Ahlden;375
2020-03-01 02:18:12;Rethem;391
2020-03-01 02:18:12;Eitze;534
2020-03-01 03:18:18;Grafhorst;107
2020-03-01 03:18:18;Brenneckenbrück;266
2020-03-01 03:18:18;Langlingen;398
2020-03-01 03:18:18;Celle;336
2020-03-01 03:18:18;Marklendorf;274
2020-03-01 03:18:18;Ahlden;375
2020-03-01 03:18:18;Rethem;391
2020-03-01 03:18:18;Eitze;532
2020-03-01 04:18:23;Grafhorst;107
2020-03-01 04:18:23;Brenneckenbrück;266
2020-03-01 04:18:23;Langlingen;398
2020-03-01 04:18:23;Celle;337
2020-03-01 04:18:23;Marklendorf;274
2020-03-01 04:18:23;Ahlden;375
2020-03-01 04:18:23;Rethem;391
2020-03-01 04:18:23;Eitze;534
2020-03-01 05:18:30;Grafhorst;106
2020-03-01 05:18:30;Brenneckenbrück;267
2020-03-01 05:18:30;Langlingen;398
2020-03-01 05:18:30;Celle;337
2020-03-01 05:18:30;Marklendorf;274
2020-03-01 05:18:30;Ahlden;375
2020-03-01 05:18:30;Rethem;391
2020-03-01 05:18:30;Eitze;534
2020-03-01 06:18:41;Grafhorst;105
2020-03-01 06:18:41;Brenneckenbrück;267
