['76 ', '198', '370', '236', '178', '233', '270', '408']
['76 ', '197', '371', '235', '176', '233', '269', '408']
['76 ', '197', '370', '236', '175', '232', '269', '408']
['75 ', '196', '371', '237', '173', '232', '269', '407']
['75 ', '196', '371', '237', '171', '231', '269', '407']
['75 ', '195', '370', '238', '169', '231', '269', '407']
['75 ', '195', '369', '238', '169', '230', '268', '407']
['74 ', '195', '369', '238', '168', '229', '268', '407']
['74 ', '193', '369', '238', '167', '228', '267', '406']
['74 ', '192', '369', '235', '167', '228', '267', '406']
['74 ', '192', '369', '234', '168', '227', '267', '406']
['74 ', '191', '368', '234', '167', '227', '266', '406']
['74 ', '191', '367', '234', '168', '226', '266', '406']
['74 ', '191', '367', '235', '167', '226', '265', '405']
['73 ', '190', '367', '236', '167', '225', '264', '405']
['73 ', '191', '367', '236', '164', '225', '263', '405']
['73 ', '190', '366', '235', '163', '224', '263', '404']
['73 ', '189', '365', '234', '163', '223', '262', '404']
['73 ', '189', '365', '234', '163', '222', '262', '403']
['73 ', '189', '364', '234', '165', '222', '261', '403']
['73 ', '189', '365', '232', '165', '221', '260', '402']
['73 ', '188', '363', '230', '164', '221', '260', '402']
['72 ', '187', '363', '229', '162', '220', '260', '402']
['72 ', '187', '364', '227', '163', '220', '259', '401']
['72 ', '186', '364', '226', '163', '219', '258', '401']
['72 ', '186', '365', '226', '163', '218', '258', '400']
['72 ', '186', '365', '225', '162', '218', '257', '400']
['72 ', '185', '365', '224', '161', '217', '256', '399']
['72 ', '186', '365', '222', '158', '216', '256', '399']
['72 ', '184', '365', '221', '158', '215', '255', '399']
['72 ', '184', '365', '221', '157', '215', '255', '398']
['72 ', '183', '365', '221', '157', '215', '255', '398']
['71 ', '184', '365', '220', '155', '212', '253', '396']
['71 ', '182', '365', '219', '153', '212', '253', '396']
['71 ', '182', '364', '218', '155', '211', '252', '396']
['71 ', '182', '364', '218', '150', '210', '251', '395']
['71 ', '181', '364', '220', '149', '209', '250', '395']
['71 ', '181', '364', '221', '150', '208', '250', '394']
['71 ', '181', '363', '219', '150', '207', '249', '394']
['71 ', '180', '363', '219', '149', '206', '248', '393']
['71 ', '180', '363', '219', '148', '204', '247', '392']
['71 ', '179', '363', '219', '149', '204', '246', '393']
['71 ', '179', '363', '219', '149', '203', '245', '392']
['71 ', '178', '363', '219', '149', '203', '244', '390']
['71 ', '178', '364', '218', '149', '202', '244', '390']
['71 ', '177', '364', '218', '149', '202', '243', '389']
['71 ', '177', '364', '218', '148', '201', '242', '388']
['71 ', '176', '364', '218', '149', '201', '241', '388']
['71 ', '176', '364', '217', '148', '200', '240', '387']
['71 ', '175', '364', '216', '148', '200', '240', '386']
['71 ', '175', '364', '216', '148', '200', '239', '386']
['71 ', '174', '364', '216', '148', '199', '238', '385']
['70 ', '174', '363', '215', '146', '198', '238', '384']
['70 ', '173', '363', '215', '147', '199', '237', '383']
['70 ', '174', '363', '214', '147', '198', '237', '383']
['70 ', '174', '362', '213', '147', '198', '236', '382']
['70 ', '173', '363', '213', '146', '197', '236', '382']
['70 ', '172', '364', '213', '146', '197', '235', '381']
['70 ', '172', '363', '212', '144', '196', '235', '381']
['70 ', '172', '364', '211', '145', '196', '234', '380']
['70 ', '172', '363', '210', '148', '195', '234', '380']
['70 ', '172', '363', '209', '135', '195', '233', '379']
['70 ', '172', '363', '209', '144', '194', '233', '379']
['70 ', '172', '363', '209', '144', '193', '232', '378']
['70 ', '172', '363', '208', '142', '192', '232', '375']
['70 ', '171', '363', '208', '142', '192', '232', '377']
['70 ', '171', '363', '208', '142', '192', '231', '377']
['69 ', '171', '362', '208', '142', '191', '230', '376']
['69 ', '171', '362', '208', '141', '190', '230', '376']
['69 ', '171', '361', '207', '140', '190', '229', '376']
['69 ', '171', '361', '207', '139', '188', '229', '373']
['69 ', '173', '361', '207', '140', '188', '228', '375']
['69 ', '173', '361', '207', '139', '188', '227', '374']
['69 ', '172', '361', '206', '139', '187', '227', '374']
['69 ', '172', '361', '206', '138', '186', '226', '373']
['69 ', '171', '361', '206', '138', '186', '225', '373']
['69 ', '171', '361', '205', '138', '185', '225', '372']
['69 ', '170', '361', '205', '137', '184', '224', '372']
['69 ', '170', '363', '205', '137', '184', '224', '371']
['68 ', '169', '363', '204', '136', '183', '223', '371']
['68 ', '169', '363', '203', '136', '182', '222', '370']
['68 ', '168', '363', '202', '136', '182', '221', '370']
['68 ', '168', '361', '202', '135', '181', '221', '369']
['68 ', '168', '361', '201', '136', '181', '220', '368']
['68 ', '168', '362', '201', '134', '181', '220', '368']
['68 ', '167', '362', '201', '130', '180', '219', '367']
['68 ', '167', '361', '201', '131', '180', '218', '367']
['68 ', '167', '361', '200', '130', '179', '218', '366']
['68 ', '168', '361', '200', '129', '178', '218', '364']
['68 ', '168', '362', '201', '129', '178', '217', '365']
['68 ', '167', '362', '200', '129', '177', '216', '365']
['68 ', '167', '362', '201', '129', '176', '216', '364']
['68 ', '166', '362', '200', '130', '176', '215', '364']
['68 ', '166', '361', '201', '130', '175', '215', '363']
['68 ', '167', '362', '201', '129', '175', '214', '363']
['68 ', '167', '362', '201', '130', '174', '214', '363']
['68 ', '166', '362', '201', '130', '174', '213', '362']
['68 ', '165', '362', '200', '130', '174', '213', '361']
['68 ', '165', '362', '200', '130', '174', '212', '361']
['68 ', '165', '362', '200', '130', '173', '212', '361']
['68 ', '165', '362', '200', '130', '173', '211', '360']
['68 ', '165', '362', '200', '130', '172', '211', '360']
['68 ', '164', '362', '199', '130', '172', '210', '359']
['68 ', '164', '362', '199', '130', '172', '210', '359']
['68 ', '165', '361', '199', '128', '171', '209', '358']
['68 ', '164', '360', '199', '129', '171', '209', '358']
['68 ', '164', '360', '199', '128', '171', '209', '356']
['68 ', '164', '360', '199', '129', '170', '208', '357']
['68 ', '164', '360', '199', '129', '170', '208', '356']
['68 ', '163', '360', '199', '129', '170', '208', '356']
['68 ', '164', '360', '198', '129', '169', '207', '356']
['68 ', '164', '359', '198', '129', '169', '207', '356']
['68 ', '164', '359', '198', '128', '169', '207', '354']
['68 ', '164', '359', '198', '129', '168', '206', '355']
['68 ', '165', '359', '198', '128', '168', '206', '355']
['68 ', '164', '359', '198', '129', '168', '206', '354']
['68 ', '164', '359', '198', '129', '168', '206', '354']
['68 ', '164', '359', '197', '128', '168', '205', '354']
['68 ', '164', '359', '197', '128', '167', '205', '352']
['68 ', '164', '358', '197', '128', '167', '204', '353']
['67 ', '163', '359', '197', '128', '167', '204', '353']
['67 ', '163', '359', '197', '128', '166', '204', '352']
['67 ', '163', '359', '196', '128', '166', '204', '352']
['67 ', '163', '359', '196', '127', '166', '203', '352']
['67 ', '163', '359', '196', '126', '165', '203', '350']
['67 ', '162', '359', '196', '127', '165', '203', '351']
['67 ', '162', '359', '196', '127', '164', '202', '351']
